id,time,light,sound
181,12-5-17:24:47:5,48,13
182,12-5-17:24:47:6,47,15
183,12-5-17:24:47:7,46,16
184,12-5-17:24:47:8,46,13
185,12-5-17:24:47:9,45,32
176,12-5-17:24:47:10,50,11
187,12-5-17:24:48:1,44,596
188,12-5-17:24:48:2,44,237
189,12-5-17:24:48:3,45,348
190,12-5-17:24:48:4,46,317
191,12-5-17:24:48:5,46,162
192,12-5-17:24:48:6,47,254
193,12-5-17:24:48:7,47,102
194,12-5-17:24:48:8,47,45
195,12-5-17:24:48:9,47,20
186,12-5-17:24:48:10,45,218
197,12-5-17:24:49:1,47,29
198,12-5-17:24:49:2,48,31
199,12-5-17:24:49:3,48,15
200,12-5-17:24:49:4,48,13
201,12-5-17:24:49:5,48,12
202,12-5-17:24:49:6,48,9
203,12-5-17:24:49:7,48,12
204,12-5-17:24:49:8,48,18
205,12-5-17:24:49:9,48,31
196,12-5-17:24:49:10,47,16
207,12-5-17:24:50:1,48,14
208,12-5-17:24:50:2,49,14
209,12-5-17:24:50:3,48,12
210,12-5-17:24:50:4,48,24
211,12-5-17:24:50:5,47,22
212,12-5-17:24:50:6,48,15
213,12-5-17:24:50:7,48,41
214,12-5-17:24:50:8,49,26
215,12-5-17:24:50:9,50,22
206,12-5-17:24:50:10,48,18
217,12-5-17:24:51:1,51,28
218,12-5-17:24:51:2,51,12
219,12-5-17:24:51:3,52,15
220,12-5-17:24:51:4,52,28
221,12-5-17:24:51:5,52,18
222,12-5-17:24:51:6,52,25
223,12-5-17:24:51:7,52,24
224,12-5-17:24:51:8,52,22
225,12-5-17:24:51:9,52,24
216,12-5-17:24:51:10,50,23
227,12-5-17:24:52:1,52,19
228,12-5-17:24:52:2,52,17
229,12-5-17:24:52:3,51,26
230,12-5-17:24:52:4,52,31
231,12-5-17:24:52:5,52,28
232,12-5-17:24:52:6,53,33
233,12-5-17:24:52:7,53,12
234,12-5-17:24:52:8,53,12
235,12-5-17:24:52:9,54,15
226,12-5-17:24:52:10,52,25
237,12-5-17:24:53:1,53,16
238,12-5-17:24:53:2,53,31
239,12-5-17:24:53:3,53,17
240,12-5-17:24:53:4,53,24
241,12-5-17:24:53:5,53,11
242,12-5-17:24:53:6,54,13
243,12-5-17:24:53:7,53,27
244,12-5-17:24:53:8,54,15
245,12-5-17:24:53:9,53,27
236,12-5-17:24:53:10,53,10
247,12-5-17:24:54:1,53,17
248,12-5-17:24:54:2,53,17
249,12-5-17:24:54:3,53,10
250,12-5-17:24:54:4,53,10
251,12-5-17:24:54:5,53,22
252,12-5-17:24:54:6,53,22
253,12-5-17:24:54:7,53,19
254,12-5-17:24:54:8,53,19
255,12-5-17:24:54:9,52,22
246,12-5-17:24:54:10,53,16
257,12-5-17:24:55:1,53,14
258,12-5-17:24:55:2,53,23
259,12-5-17:24:55:3,53,24
260,12-5-17:24:55:4,52,27
261,12-5-17:24:55:5,52,23
262,12-5-17:24:55:6,53,33
263,12-5-17:24:55:7,53,20
264,12-5-17:24:55:8,53,13
265,12-5-17:24:55:9,53,18
256,12-5-17:24:55:10,53,16
267,12-5-17:24:56:1,53,11
268,12-5-17:24:56:2,54,13
269,12-5-17:24:56:3,53,14
270,12-5-17:24:56:4,53,15
271,12-5-17:24:56:5,53,12
272,12-5-17:24:56:6,53,23
273,12-5-17:24:56:7,53,20
274,12-5-17:24:56:8,53,16
275,12-5-17:24:56:9,53,19
266,12-5-17:24:56:10,53,18
277,12-5-17:24:57:1,53,21
278,12-5-17:24:57:2,52,15
279,12-5-17:24:57:3,52,27
280,12-5-17:24:57:4,53,14
281,12-5-17:24:57:5,53,12
282,12-5-17:24:57:6,54,16
283,12-5-17:24:57:7,54,21
284,12-5-17:24:57:8,54,12
285,12-5-17:24:57:9,54,24
276,12-5-17:24:57:10,53,9
287,12-5-17:24:58:1,54,14
288,12-5-17:24:58:2,54,13
289,12-5-17:24:58:3,55,27
290,12-5-17:24:58:4,54,12
291,12-5-17:24:58:5,55,15
292,12-5-17:24:58:6,55,31
293,12-5-17:24:58:7,55,15
294,12-5-17:24:58:8,55,27
295,12-5-17:24:58:9,55,12
286,12-5-17:24:58:10,54,23
297,12-5-17:24:59:1,56,12
298,12-5-17:24:59:2,55,11
299,12-5-17:24:59:3,55,12
300,12-5-17:24:59:4,55,22
301,12-5-17:24:59:5,55,16
302,12-5-17:24:59:6,55,20
303,12-5-17:24:59:7,56,11
304,12-5-17:24:59:8,55,12
305,12-5-17:24:59:9,55,16
296,12-5-17:24:59:10,55,17
307,12-5-17:25:0:1,54,18
308,12-5-17:25:0:2,54,26
309,12-5-17:25:0:3,55,13
310,12-5-17:25:0:4,55,12
311,12-5-17:25:0:5,55,26
312,12-5-17:25:0:6,54,11
313,12-5-17:25:0:7,54,14
314,12-5-17:25:0:8,54,23
315,12-5-17:25:0:9,54,11
306,12-5-17:25:0:10,56,17
317,12-5-17:25:1:1,54,18
318,12-5-17:25:1:2,54,16
319,12-5-17:25:1:3,55,16
320,12-5-17:25:1:4,56,15
321,12-5-17:25:1:5,55,22
322,12-5-17:25:1:6,55,13
323,12-5-17:25:1:7,55,15
324,12-5-17:25:1:8,55,17
325,12-5-17:25:1:9,55,13
316,12-5-17:25:1:10,53,16
327,12-5-17:25:2:1,55,11
328,12-5-17:25:2:2,55,16
329,12-5-17:25:2:3,55,13
330,12-5-17:25:2:4,55,16
331,12-5-17:25:2:5,55,21
332,12-5-17:25:2:6,55,31
333,12-5-17:25:2:7,55,13
334,12-5-17:25:2:8,55,16
335,12-5-17:25:2:9,55,11
326,12-5-17:25:2:10,55,13
337,12-5-17:25:3:1,55,17
338,12-5-17:25:3:2,55,14
339,12-5-17:25:3:3,56,17
340,12-5-17:25:3:4,55,12
341,12-5-17:25:3:5,54,11
342,12-5-17:25:3:6,55,20
343,12-5-17:25:3:7,55,23
344,12-5-17:25:3:8,54,13
345,12-5-17:25:3:9,54,10
336,12-5-17:25:3:10,55,11
347,12-5-17:25:4:1,53,15
348,12-5-17:25:4:2,53,23
349,12-5-17:25:4:3,54,12
